,TTF_Price,Avg_Temp_C,HDD,Predicted_Price,Residuals
2022-01-03,80.43399810791016,8.8,9.2,59.71152757987058,20.72247052803958
2022-01-04,88.74099731445312,6.3,11.7,58.24996650516202,30.491030809291104
2022-01-05,91.52200317382812,5.3,12.7,57.6653420752786,33.85666109854952
2022-01-06,96.50199890136719,3.4,14.6,56.55455565850011,39.94744324286708
2022-01-07,88.17400360107422,3.4,14.6,56.55455565850011,31.619447942574112
2022-01-08,88.17400360107422,3.7,14.3,56.72994298746513,31.44406061360909
2022-01-09,88.17400360107422,5.0,13.0,57.48995474631358,30.68404885476064
2022-01-10,84.60700225830078,1.7,16.3,55.560694127698284,29.046308130602497
2022-01-11,78.73600006103516,2.0,16.0,55.736081456663314,22.999918604371842
2022-01-12,75.15299987792969,3.7,14.3,56.72994298746513,18.423056890464558
2022-01-13,85.45999908447266,5.5,12.5,57.78226696125529,27.677732123217368
2022-01-14,86.97000122070312,5.8,12.2,57.95765429022031,29.012346930482813
2022-01-15,86.97000122070312,3.4,14.6,56.55455565850011,30.41544556220302
2022-01-16,86.97000122070312,6.2,11.8,58.191504062173685,28.77849715852944
2022-01-17,86.97000122070312,6.5,11.5,58.36689139113871,28.603109829564417
2022-01-18,78.33399963378906,5.4,12.6,57.723804518266945,20.610195115522117
2022-01-19,75.60199737548828,4.7,13.3,57.31456741734855,18.287429958139732
2022-01-20,75.2030029296875,4.4,13.6,57.139180088383526,18.063822841303974
2022-01-21,78.9800033569336,5.2,12.8,57.60687963229026,21.373123724643335
2022-01-22,78.9800033569336,6.4,11.6,58.308428948150365,20.67157440878323
2022-01-23,78.9800033569336,5.9,12.1,58.016116733208655,20.96388662372494
2022-01-24,93.0,4.2,13.8,57.02225520240684,35.97774479759316
2022-01-25,93.58200073242188,2.6,15.4,56.08685611459337,37.49514461782851
2022-01-26,91.83699798583984,4.5,13.5,57.19764253137187,34.639355454467974
2022-01-27,92.3010025024414,7.1,10.9,58.71766604906876,33.583336453372645
